   (131) Vala                            1873 05 24  Clinton                  Peters, C. H. F.
   (132) Aethra                          1873 06 13  Ann Arbor                Watson, J. C.
   (133) Cyrene                          1873 08 16  Ann Arbor                Watson, J. C.
   (134) Sophrosyne                      1873 09 27  Düsseldorf               Luther, R.
   (135) Hertha                          1874 02 18  Clinton                  Peters, C. H. F.
   (136) Austria                         1874 03 18  Pola                     Palisa, J.
   (137) Meliboea                        1874 04 21  Pola                     Palisa, J.
   (138) Tolosa                          1874 05 19  Toulouse                 Perrotin, J.
   (139) Juewa                           1874 10 10  Peking                   Watson, J. C.
   (140) Siwa                            1874 10 13  Pola                     Palisa, J.
   (141) Lumen                           1875 01 13  Paris                    Henry, P. P.
   (142) Polana                          1875 01 28  Pola                     Palisa, J.
   (143) Adria                           1875 02 23  Pola                     Palisa, J.
   (144) Vibilia                         1875 06 03  Clinton                  Peters, C. H. F.
   (145) Adeona                          1875 06 03  Clinton                  Peters, C. H. F.
   (146) Lucina                          1875 06 08  Marseilles               Borrelly, A.
   (147) Protogeneia                     1875 07 10  Vienna                   Schulhof, L.
   (148) Gallia                          1875 08 07  Paris                    Henry, P. M.
   (149) Medusa                          1875 09 21  Toulouse                 Perrotin, J.
   (150) Nuwa                            1875 10 18  Ann Arbor                Watson, J. C.
   (151) Abundantia                      1875 11 01  Pola                     Palisa, J.
   (152) Atala                           1875 11 02  Paris                    Henry, P. P.
   (153) Hilda                           1875 11 02  Pola                     Palisa, J.
   (154) Bertha                          1875 11 04  Paris                    Henry, P. M.
   (155) Scylla                          1875 11 08  Pola                     Palisa, J.
   (156) Xanthippe                       1875 11 22  Pola                     Palisa, J.
   (157) Dejanira                        1875 12 01  Marseilles               Borrelly, A.
   (158) Koronis                         1876 01 04  Berlin                   Knorre, V.
   (159) Aemilia                         1876 01 26  Paris                    Henry, P. P.
   (160) Una                             1876 02 20  Clinton                  Peters, C. H. F.
   (161) Athor                           1876 04 19  Ann Arbor                Watson, J. C.
   (162) Laurentia                       1876 04 21  Paris                    Henry, P. M.
   (163) Erigone                         1876 04 26  Toulouse                 Perrotin, J.
   (164) Eva                             1876 07 12  Paris                    Henry, P. P.
   (165) Loreley                         1876 08 09  Clinton                  Peters, C. H. F.
   (166) Rhodope                         1876 08 15  Clinton                  Peters, C. H. F.
   (167) Urda                            1876 08 28  Clinton                  Peters, C. H. F.
   (168) Sibylla                         1876 09 28  Ann Arbor                Watson, J. C.
   (169) Zelia                           1876 09 28  Paris                    Henry, P. M.
   (170) Maria                           1877 01 10  Toulouse                 Perrotin, J.
   (171) Ophelia                         1877 01 13  Marseilles               Borrelly, A.
   (172) Baucis                          1877 02 05  Marseilles               Borrelly, A.
   (173) Ino                             1877 08 01  Marseilles               Borrelly, A.
   (174) Phaedra                         1877 09 02  Ann Arbor                Watson, J. C.
   (175) Andromache                      1877 10 01  Ann Arbor                Watson, J. C.
   (176) Iduna                           1877 10 14  Clinton                  Peters, C. H. F.
   (177) Irma                            1877 11 05  Paris                    Henry, P. P.
   (178) Belisana                        1877 11 06  Pola                     Palisa, J.
   (179) Klytaemnestra                   1877 11 11  Ann Arbor                Watson, J. C.
   (180) Garumna                         1878 01 29  Toulouse                 Perrotin, J.
   (181) Eucharis                        1878 02 02  Marseilles               Cottenot, P.
   (182) Elsa                            1878 02 07  Pola                     Palisa, J.
   (183) Istria                          1878 02 08  Pola                     Palisa, J.
   (184) Dejopeja                        1878 02 28  Pola                     Palisa, J.
   (185) Eunike                          1878 03 01  Clinton                  Peters, C. H. F.
   (186) Celuta                          1878 04 06  Paris                    Henry, P. M.
   (187) Lamberta                        1878 04 11  Marseilles               Coggia, J.
   (188) Menippe                         1878 06 18  Clinton                  Peters, C. H. F.
   (189) Phthia                          1878 09 09  Clinton                  Peters, C. H. F.
   (190) Ismene                          1878 09 22  Clinton                  Peters, C. H. F.
   (191) Kolga                           1878 09 30  Clinton                  Peters, C. H. F.
   (192) Nausikaa                        1879 02 17  Pola                     Palisa, J.
   (193) Ambrosia                        1879 02 28  Marseilles               Coggia, J.
   (194) Prokne                          1879 03 21  Clinton                  Peters, C. H. F.
